Model,Class,Loss
MNIST_SMLLAE_0.001_128_5_3.pth,2,0.8722955629576085
MNIST_SMLLAE_0.001_128_5_3.pth,3,0.8855703059399482
MNIST_SMLLAE_0.001_128_5_3.pth,4,0.9061290416600991
MNIST_SMLLAE_0.001_128_5_3.pth,5,0.8942892280795649
MNIST_SMLLAE_0.001_128_5_3.pth,6,0.8709972531909983
MNIST_SMLLAE_0.001_128_5_3.pth,7,0.9272872834585983
MNIST_SMLLAE_0.001_128_5_3.pth,8,0.8776835212962094
MNIST_SMLLAE_0.001_128_5_3.pth,9,0.9062347796674526
MNIST_SMLLAE_0.001_128_5_1.pth,0,0.8426134407520294
MNIST_SMLLAE_0.001_128_5_1.pth,1,1.0371377382509508
MNIST_SMLLAE_0.001_128_5_1.pth,2,0.8994460380816645
MNIST_SMLLAE_0.001_128_5_1.pth,3,0.9130105955175835
MNIST_SMLLAE_0.001_128_5_1.pth,4,0.9421634129011461
MNIST_SMLLAE_0.001_128_5_1.pth,5,0.9133398371159763
MNIST_SMLLAE_0.001_128_5_1.pth,6,0.9116561492450053
MNIST_SMLLAE_0.001_128_5_1.pth,7,0.9587809028328624
MNIST_SMLLAE_0.001_128_5_1.pth,8,0.9068531740984632
MNIST_SMLLAE_0.001_128_5_1.pth,9,0.9372069993978449
MNIST_SMLLAE_0.01_128_10_3.pth,0,0.8259383194300594
MNIST_SMLLAE_0.01_128_10_3.pth,1,0.9255942205500498
MNIST_SMLLAE_0.01_128_10_3.pth,2,0.8466006815433502
MNIST_SMLLAE_0.01_128_10_3.pth,3,0.8486079753035366
MNIST_SMLLAE_0.01_128_10_3.pth,4,0.869543235377236
MNIST_SMLLAE_0.01_128_10_3.pth,5,0.8603002974938919
MNIST_SMLLAE_0.01_128_10_3.pth,6,0.8504532308692972
MNIST_SMLLAE_0.01_128_10_3.pth,7,0.8785204928556769
MNIST_SMLLAE_0.01_128_10_3.pth,8,0.8442830283049441
MNIST_SMLLAE_0.01_128_10_3.pth,9,0.8637209281812692
MNIST_SMLLAE_0.001_64_5_4.pth,0,0.8196096688508987
MNIST_SMLLAE_0.001_64_5_4.pth,1,0.9268752396894446
MNIST_SMLLAE_0.001_64_5_4.pth,2,0.8424675285007602
MNIST_SMLLAE_0.001_64_5_4.pth,3,0.8453205088577648
MNIST_SMLLAE_0.001_64_5_4.pth,4,0.8667867508415292
MNIST_SMLLAE_0.001_64_5_4.pth,5,0.8572397395767973
MNIST_SMLLAE_0.001_64_5_4.pth,6,0.848676910293376
MNIST_SMLLAE_0.001_64_5_4.pth,7,0.8748898262063817
MNIST_SMLLAE_0.001_64_5_4.pth,8,0.8391595639487311
MNIST_SMLLAE_0.001_64_5_4.pth,9,0.861896032797924
MNIST_SMLLAE_0.01_32_1_4.pth,0,0.8265747902952895
MNIST_SMLLAE_0.01_32_1_4.pth,1,0.9312098159664003
MNIST_SMLLAE_0.01_32_1_4.pth,2,0.8518668292451275
MNIST_SMLLAE_0.01_32_1_4.pth,3,0.8531063265729659
MNIST_SMLLAE_0.01_32_1_4.pth,4,0.8755702956023866
MNIST_SMLLAE_0.01_32_1_4.pth,5,0.8652031439703142
MNIST_SMLLAE_0.01_32_1_4.pth,6,0.8571817475470223
MNIST_SMLLAE_0.01_32_1_4.pth,7,0.8804518848309721
MNIST_SMLLAE_0.01_32_1_4.pth,8,0.8467883440748133
MNIST_SMLLAE_0.01_32_1_4.pth,9,0.8685283583503057
MNIST_SMLLAE_0.001_128_1_4.pth,0,0.9450107619470479
MNIST_SMLLAE_0.001_128_1_4.pth,1,1.322428503540644
MNIST_SMLLAE_0.001_128_1_4.pth,2,1.1100641329043595
MNIST_SMLLAE_0.001_128_1_4.pth,3,1.15365227248409
MNIST_SMLLAE_0.001_128_1_4.pth,4,1.217180160118946
MNIST_SMLLAE_0.001_128_1_4.pth,5,1.1697927958628522
MNIST_SMLLAE_0.001_128_1_4.pth,6,1.1550717003534632
MNIST_SMLLAE_0.001_128_1_4.pth,7,1.2076189762075586
MNIST_SMLLAE_0.001_128_1_4.pth,8,1.1696437039781644
MNIST_SMLLAE_0.001_128_1_4.pth,9,1.197064829888736
MNIST_SMLLAE_0.0001_32_10_3.pth,0,0.8172322354754623
MNIST_SMLLAE_0.0001_32_10_3.pth,1,0.9218892163642177
MNIST_SMLLAE_0.0001_32_10_3.pth,2,0.8430525867282882
MNIST_SMLLAE_0.0001_32_10_3.pth,3,0.8460725752433927
MNIST_SMLLAE_0.0001_32_10_3.pth,4,0.8666408282312016
MNIST_SMLLAE_0.0001_32_10_3.pth,5,0.859273079665787
MNIST_SMLLAE_0.0001_32_10_3.pth,6,0.8490924790408267
MNIST_SMLLAE_0.0001_32_10_3.pth,7,0.8749429529047198
MNIST_SMLLAE_0.0001_32_10_3.pth,8,0.8400952383355683
MNIST_SMLLAE_0.0001_32_10_3.pth,9,0.8620461250320298
MNIST_SMLLAE_0.01_64_1_4.pth,0,0.8326275868075235
MNIST_SMLLAE_0.01_64_1_4.pth,1,0.9327279247901513
MNIST_SMLLAE_0.01_64_1_4.pth,2,0.8587561536782472
MNIST_SMLLAE_0.01_64_1_4.pth,3,0.8612737756554443
MNIST_SMLLAE_0.01_64_1_4.pth,4,0.879883936005066
MNIST_SMLLAE_0.01_64_1_4.pth,5,0.874864867850804
MNIST_SMLLAE_0.01_64_1_4.pth,6,0.8629501995811383
MNIST_SMLLAE_0.01_64_1_4.pth,7,0.8869610634063468
MNIST_SMLLAE_0.01_64_1_4.pth,8,0.8547734462749786
MNIST_SMLLAE_0.01_64_1_4.pth,9,0.8751419857070515
MNIST_SMLLAE_0.01_64_5_1.pth,0,0.8208105589054069
MNIST_SMLLAE_0.01_64_5_1.pth,1,0.9443533816001489
MNIST_SMLLAE_0.01_64_5_1.pth,2,0.847173835937829
MNIST_SMLLAE_0.01_64_5_1.pth,3,0.8508868329595811
MNIST_SMLLAE_0.01_64_5_1.pth,4,0.8732646499170548
MNIST_SMLLAE_0.01_64_5_1.pth,5,0.8630871051095527
MNIST_SMLLAE_0.01_64_5_1.pth,6,0.8525662507418551
MNIST_SMLLAE_0.01_64_5_1.pth,7,0.8802363896300357
MNIST_SMLLAE_0.01_64_5_1.pth,8,0.8432231533209157
MNIST_SMLLAE_0.01_64_5_1.pth,9,0.8666052586732227
MNIST_SMLLAE_0.01_64_10_4.pth,0,0.823097514011422
MNIST_SMLLAE_0.01_64_10_4.pth,1,0.941007635456875
MNIST_SMLLAE_0.01_64_10_4.pth,2,0.8461558464770169
MNIST_SMLLAE_0.01_64_10_4.pth,3,0.8487872914512559
MNIST_SMLLAE_0.01_64_10_4.pth,4,0.8701674656566923
MNIST_SMLLAE_0.01_64_10_4.pth,5,0.8612145305749013
MNIST_SMLLAE_0.01_64_10_4.pth,6,0.8533042420425097
MNIST_SMLLAE_0.01_64_10_4.pth,7,0.8778120857384418
MNIST_SMLLAE_0.01_64_10_4.pth,8,0.8414314816987001
MNIST_SMLLAE_0.01_64_10_4.pth,9,0.8650540907390054
MNIST_SMLLAE_0.001_32_1_3.pth,0,0.8373282242186215
MNIST_SMLLAE_0.001_32_1_3.pth,1,0.9346711295291715
MNIST_SMLLAE_0.001_32_1_3.pth,2,0.8613452168051586
MNIST_SMLLAE_0.001_32_1_3.pth,3,0.8632284490778894
MNIST_SMLLAE_0.001_32_1_3.pth,4,0.8840408659636853
MNIST_SMLLAE_0.001_32_1_3.pth,5,0.8776062090835229
MNIST_SMLLAE_0.001_32_1_3.pth,6,0.8636522628444719
MNIST_SMLLAE_0.001_32_1_3.pth,7,0.8898869066966647
MNIST_SMLLAE_0.001_32_1_3.pth,8,0.8586991504599671
MNIST_SMLLAE_0.001_32_1_3.pth,9,0.8760957486329395
MNIST_SMLLAE_0.01_64_5_3.pth,0,0.8227539528997577
MNIST_SMLLAE_0.01_64_5_3.pth,1,0.931279766612116
MNIST_SMLLAE_0.01_64_5_3.pth,2,0.8460646154460056
MNIST_SMLLAE_0.01_64_5_3.pth,3,0.8485841706837758
MNIST_SMLLAE_0.01_64_5_3.pth,4,0.86985890582477
MNIST_SMLLAE_0.01_64_5_3.pth,5,0.860698089204027
MNIST_SMLLAE_0.01_64_5_3.pth,6,0.8527609429677991
MNIST_SMLLAE_0.01_64_5_3.pth,7,0.8784565869356408
MNIST_SMLLAE_0.01_64_5_3.pth,8,0.8430560107593419
MNIST_SMLLAE_0.01_64_5_3.pth,9,0.8636264596632852
MNIST_SMLLAE_0.01_64_5_2.pth,0,0.8220585006840375
MNIST_SMLLAE_0.01_64_5_2.pth,1,0.9287861261073713
MNIST_SMLLAE_0.01_64_5_2.pth,2,0.8461946085557457
MNIST_SMLLAE_0.01_64_5_2.pth,3,0.8493918833756211
MNIST_SMLLAE_0.01_64_5_2.pth,4,0.8715853039213207
MNIST_SMLLAE_0.01_64_5_2.pth,5,0.86136226676772
MNIST_SMLLAE_0.01_64_5_2.pth,6,0.8520882805976588
MNIST_SMLLAE_0.01_64_5_2.pth,7,0.879092508079013
MNIST_SMLLAE_0.01_64_5_2.pth,8,0.8419244441163614
MNIST_SMLLAE_0.01_64_5_2.pth,9,0.8649852147069275
MNIST_SMLLAE_0.001_32_10_3.pth,0,0.8100768298518901
MNIST_SMLLAE_0.001_32_10_3.pth,1,0.9177404831159482
MNIST_SMLLAE_0.001_32_10_3.pth,2,0.8356469020593998
MNIST_SMLLAE_0.001_32_10_3.pth,3,0.8398544665610436
MNIST_SMLLAE_0.001_32_10_3.pth,4,0.8619434451134288
MNIST_SMLLAE_0.001_32_10_3.pth,5,0.8522343594129844
MNIST_SMLLAE_0.001_32_10_3.pth,6,0.8424422171021304
MNIST_SMLLAE_0.001_32_10_3.pth,7,0.870388319520171
MNIST_SMLLAE_0.001_32_10_3.pth,8,0.8331899405504889
MNIST_SMLLAE_0.001_32_10_3.pth,9,0.8569869873426832
MNIST_SMLLAE_0.01_64_1_3.pth,0,0.8240957053340211
MNIST_SMLLAE_0.01_64_1_3.pth,1,0.9298574279058347
MNIST_SMLLAE_0.01_64_1_3.pth,2,0.8488560683967531
MNIST_SMLLAE_0.01_64_1_3.pth,3,0.852768356611233
MNIST_SMLLAE_0.01_64_1_3.pth,4,0.8727030425110562
MNIST_SMLLAE_0.01_64_1_3.pth,5,0.865326035784499
MNIST_SMLLAE_0.01_64_1_3.pth,6,0.8539024633754021
MNIST_SMLLAE_0.01_64_1_3.pth,7,0.8795923935648068
MNIST_SMLLAE_0.01_64_1_3.pth,8,0.8463836446924621
MNIST_SMLLAE_0.01_64_1_3.pth,9,0.8675437635189241
MNIST_SMLLAE_0.0001_32_10_4.pth,0,0.8188932356177544
MNIST_SMLLAE_0.0001_32_10_4.pth,1,0.9208445786904659
MNIST_SMLLAE_0.0001_32_10_4.pth,2,0.8431740467285
MNIST_SMLLAE_0.0001_32_10_4.pth,3,0.8470170025188144
MNIST_SMLLAE_0.0001_32_10_4.pth,4,0.8671667311196415
MNIST_SMLLAE_0.0001_32_10_4.pth,5,0.8590169258983681
MNIST_SMLLAE_0.0001_32_10_4.pth,6,0.8479521003919255
MNIST_SMLLAE_0.0001_32_10_4.pth,7,0.8765539905556445
MNIST_SMLLAE_0.0001_32_10_4.pth,8,0.8401772358456676
MNIST_SMLLAE_0.0001_32_10_4.pth,9,0.8623800472060091
MNIST_SMLLAE_0.001_32_10_4.pth,0,0.8105496073863945
MNIST_SMLLAE_0.001_32_10_4.pth,1,0.9172806302881451
MNIST_SMLLAE_0.001_32_10_4.pth,2,0.8366212172563686
MNIST_SMLLAE_0.001_32_10_4.pth,3,0.8401335555728119
MNIST_SMLLAE_0.001_32_10_4.pth,4,0.8628694850898323
MNIST_SMLLAE_0.001_32_10_4.pth,5,0.8529855822768446
MNIST_SMLLAE_0.001_32_10_4.pth,6,0.8419621383347442
MNIST_SMLLAE_0.001_32_10_4.pth,7,0.8707577798964913
MNIST_SMLLAE_0.001_32_10_4.pth,8,0.83261799696045
MNIST_SMLLAE_0.001_32_10_4.pth,9,0.8575599220155843
MNIST_SMLLAE_0.001_32_1_4.pth,0,0.8314765844418078
MNIST_SMLLAE_0.001_32_1_4.pth,1,0.936312538569194
MNIST_SMLLAE_0.001_32_1_4.pth,2,0.8547139132554217
MNIST_SMLLAE_0.001_32_1_4.pth,3,0.8582920453926124
MNIST_SMLLAE_0.001_32_1_4.pth,4,0.8776655383483941
MNIST_SMLLAE_0.001_32_1_4.pth,5,0.8709644296377763
MNIST_SMLLAE_0.001_32_1_4.pth,6,0.8578086118359656
MNIST_SMLLAE_0.001_32_1_4.pth,7,0.8947397124326647
MNIST_SMLLAE_0.001_32_1_4.pth,8,0.8513171944530104
