Dataset,Model,Seed,Epochs,Learning Rate,Batch Size,Loss
MNIST,SMLLAE,4,14,0.01,64,0.013354125171542358
MNIST,SMLLAE,4,15,0.01,64,0.013353716880917105
MNIST,SMLLAE,4,16,0.01,64,0.013353280273319753
MNIST,SMLLAE,4,17,0.01,64,0.013352879655680485
MNIST,SMLLAE,4,18,0.01,64,0.013352661207914035
MNIST,SMLLAE,4,19,0.01,64,0.013352749380729854
MNIST,SMLLAE,4,Test,0.01,64,0.013267233131370347
MNIST,SMLLAE,4,0,0.001,64,0.014377051853199504
MNIST,SMLLAE,4,1,0.001,64,0.013512781122202938
MNIST,SMLLAE,4,2,0.001,64,0.013400144494776087
MNIST,SMLLAE,4,3,0.001,64,0.013349439117755654
MNIST,SMLLAE,4,4,0.001,64,0.013319728205969402
MNIST,SMLLAE,4,5,0.001,64,0.013296603543886435
MNIST,SMLLAE,4,6,0.001,64,0.01327786815644645
MNIST,SMLLAE,4,7,0.001,64,0.013271228816392007
MNIST,SMLLAE,4,8,0.001,64,0.013267569254829623
MNIST,SMLLAE,4,9,0.001,64,0.013264783328450692
MNIST,SMLLAE,4,10,0.001,64,0.013262489758956152
MNIST,SMLLAE,4,11,0.001,64,0.013260561130893255
MNIST,SMLLAE,4,12,0.001,64,0.013259280635826369
MNIST,SMLLAE,4,13,0.001,64,0.013258199093303382
MNIST,SMLLAE,4,14,0.001,64,0.013257411103060187
MNIST,SMLLAE,4,15,0.001,64,0.013256430862221256
MNIST,SMLLAE,4,16,0.001,64,0.013255760821301355
MNIST,SMLLAE,4,17,0.001,64,0.013255234963612071
MNIST,SMLLAE,4,18,0.001,64,0.013254468749239565
MNIST,SMLLAE,4,19,0.001,64,0.013254054552956876
MNIST,SMLLAE,4,Test,0.001,64,0.013184566406687354
MNIST,SMLLAE,4,0,0.01,128,0.007190725767115222
MNIST,SMLLAE,4,1,0.01,128,0.00675023056125876
MNIST,SMLLAE,4,2,0.01,128,0.0066801606357764845
MNIST,SMLLAE,4,3,0.01,128,0.00666625525500538
MNIST,SMLLAE,4,4,0.01,128,0.006662661204738086
MNIST,SMLLAE,4,5,0.01,128,0.006661542431155501
MNIST,SMLLAE,4,6,0.01,128,0.006660503873438723
MNIST,SMLLAE,4,7,0.01,128,0.006660562769166315
MNIST,SMLLAE,4,8,0.01,128,0.006659372222186851
MNIST,SMLLAE,4,9,0.01,128,0.006659471866752166
MNIST,SMLLAE,4,10,0.01,128,0.006659363882977571
MNIST,SMLLAE,4,11,0.01,128,0.0066592071973867635
MNIST,SMLLAE,4,12,0.01,128,0.006658721755919998
MNIST,SMLLAE,4,13,0.01,128,0.00665832741626862
MNIST,SMLLAE,4,14,0.01,128,0.0066580660601478145
MNIST,SMLLAE,4,15,0.01,128,0.006657962593982723
MNIST,SMLLAE,4,16,0.01,128,0.0066575314303530435
MNIST,SMLLAE,4,17,0.01,128,0.006657498168832521
MNIST,SMLLAE,4,18,0.01,128,0.006657537798693122
MNIST,SMLLAE,4,19,0.01,128,0.006657189377811926
MNIST,SMLLAE,4,Test,0.01,128,0.006616775005395654
MNIST,SMLLAE,4,0,0.001,128,0.00748489843979319
MNIST,SMLLAE,4,1,0.001,128,0.006885871741928653
MNIST,SMLLAE,4,2,0.001,128,0.0067617408891540096
MNIST,SMLLAE,4,3,0.001,128,0.006719181147306713
MNIST,SMLLAE,4,4,0.001,128,0.006695649964905687
MNIST,SMLLAE,4,5,0.001,128,0.006681848885312772
MNIST,SMLLAE,4,6,0.001,128,0.006672086936832745
MNIST,SMLLAE,4,7,0.001,128,0.006663112913065755
MNIST,SMLLAE,4,8,0.001,128,0.006654698399703767
MNIST,SMLLAE,4,9,0.001,128,0.006649073192488347
MNIST,SMLLAE,4,10,0.001,128,0.006642439933831313
MNIST,SMLLAE,4,11,0.001,128,0.006637844355351953
MNIST,SMLLAE,4,12,0.001,128,0.006634996804807868
MNIST,SMLLAE,4,13,0.001,128,0.0066331971142846126
MNIST,SMLLAE,4,14,0.001,128,0.0066315725173697925
MNIST,SMLLAE,4,15,0.001,128,0.006630342306771766
MNIST,SMLLAE,4,16,0.001,128,0.006629671446724868
MNIST,SMLLAE,4,17,0.001,128,0.00662895518619178
MNIST,SMLLAE,4,18,0.001,128,0.006628132347803888
MNIST,SMLLAE,4,19,0.001,128,0.006627654186142152
MNIST,SMLLAE,4,Test,0.001,128,0.006588954967741347
MNIST,SMLLAE,3,0,0.01,32,0.027454067893822987
MNIST,SMLLAE,3,Test,0.01,32,0.026663119610125265
MNIST,SMLLAE,3,0,0.001,32,0.028649589363733928
MNIST,SMLLAE,3,Test,0.001,32,0.026922763173524943
MNIST,SMLLAE,3,0,0.0001,32,0.03173647263844808
MNIST,SMLLAE,3,Test,0.0001,32,0.028893934241451393
MNIST,SMLLAE,3,0,0.01,64,0.01404481735636494
MNIST,SMLLAE,3,Test,0.01,64,0.013344581494001067
MNIST,SMLLAE,3,0,0.001,64,0.014717728616411624
MNIST,SMLLAE,3,Test,0.001,64,0.014123531705017681
MNIST,SMLLAE,3,0,0.0001,64,0.01703710093605779
MNIST,SMLLAE,3,Test,0.0001,64,0.014547006191484108
MNIST,SMLLAE,3,0,0.01,128,0.007266542625063454
MNIST,SMLLAE,3,Test,0.01,128,0.006968930039460523
