Model,Class,MSE,SSIM,PSNR
MNIST_SMLLAE_0.001_128_10_4.pth,1,0.9220780690336018,-0.19047605865118478,0.3551651680543709
MNIST_SMLLAE_0.001_128_10_4.pth,2,0.8408505489775376,-0.1455195188400705,0.7565144563223853
MNIST_SMLLAE_0.001_128_10_4.pth,3,0.8445137520827869,-0.17073449501260726,0.7380307373037239
MNIST_SMLLAE_0.001_128_10_4.pth,4,0.8657806734810536,-0.16386912495879416,0.6291862265980533
MNIST_SMLLAE_0.001_128_10_4.pth,5,0.8562338043488729,-0.2054086358481707,0.6785794355257644
MNIST_SMLLAE_0.001_128_10_4.pth,6,0.8468213530572322,-0.14950886749718284,0.7259724984991661
MNIST_SMLLAE_0.001_128_10_4.pth,7,0.8739118177719153,-0.19692696895584813,0.5886582293056293
MNIST_SMLLAE_0.001_128_10_4.pth,8,0.8374767274092845,-0.12449251517880541,0.7735663641000745
MNIST_SMLLAE_0.001_128_10_4.pth,9,0.8601635735264146,-0.173643131534732,0.6570468850460537
MNIST_SMLLAE_0.001_64_5_1.pth,0,0.8219535564281503,-0.19405908683120252,0.8549741811173471
MNIST_SMLLAE_0.001_64_5_1.pth,1,0.940426915175064,-0.20515278274549406,0.2718236387691983
MNIST_SMLLAE_0.001_64_5_1.pth,2,0.8476544381227604,-0.1448944891434881,0.7216787233136499
MNIST_SMLLAE_0.001_64_5_1.pth,3,0.8504937226229375,-0.17698744368414573,0.7078614956378745
MNIST_SMLLAE_0.001_64_5_1.pth,4,0.8727736076123845,-0.1728915566255047,0.5951182069044704
MNIST_SMLLAE_0.001_64_5_1.pth,5,0.8643953940526252,-0.21330158199783286,0.6385956418357152
MNIST_SMLLAE_0.001_64_5_1.pth,6,0.8525833808554488,-0.15640239765453967,0.6975093380376785
MNIST_SMLLAE_0.001_64_5_1.pth,7,0.8821648888666807,-0.20401108009408703,0.5487584405577045
MNIST_SMLLAE_0.001_64_5_1.pth,8,0.8437246845488185,-0.12485629523130998,0.7414418861919783
MNIST_SMLLAE_0.001_64_5_1.pth,9,0.8662406315416009,-0.17656392119359487,0.627013447710944
MNIST_SMLLAE_0.0001_128_1_3.pth,0,1.2218780571708874,-0.012541407254956432,-0.8228640296013756
MNIST_SMLLAE_0.0001_128_1_3.pth,1,1.768504887950578,-0.015257717399007475,-2.4703986395306425
MNIST_SMLLAE_0.0001_128_1_3.pth,2,1.4947692012602045,-0.012562625614901039,-1.703738757939375
MNIST_SMLLAE_0.0001_128_1_3.pth,3,1.453119160751305,-0.019764490248942446,-1.5707708654223813
MNIST_SMLLAE_0.0001_128_1_3.pth,4,1.645274335886456,-0.014729117961936624,-2.1488657686996673
MNIST_SMLLAE_0.0001_128_1_3.pth,5,1.4907952901226522,-0.016873005410437767,-1.6792727703459551
MNIST_SMLLAE_0.0001_128_1_3.pth,6,1.594383027583423,-0.012871345159003154,-2.0028854743412188
MNIST_SMLLAE_0.0001_128_1_3.pth,7,1.6631945193045798,-0.02906945578465842,-2.199101364345249
MNIST_SMLLAE_0.0001_128_1_3.pth,8,1.5176575410292623,-0.014443474607767242,-1.7756948467060814
MNIST_SMLLAE_0.0001_128_1_3.pth,9,1.6462897445094598,-0.015796527489510152,-2.1540863437438573
MNIST_SMLLAE_0.001_128_1_3.pth,0,1.1279042978067788,-0.032693236815320936,-0.469817759636772
MNIST_SMLLAE_0.001_128_1_3.pth,1,1.43834308139028,-0.03924439757486623,-1.5759013563006063
MNIST_SMLLAE_0.001_128_1_3.pth,2,1.3286581867078477,-0.040901952252439006,-1.223441262943847
MNIST_SMLLAE_0.001_128_1_3.pth,3,1.3013335400288648,-0.0471476461799886,-1.124638250055576
MNIST_SMLLAE_0.001_128_1_3.pth,4,1.343616513334321,-0.04990971406268571,-1.277556754759214
MNIST_SMLLAE_0.001_128_1_3.pth,5,1.3367290789503687,-0.04636402651622278,-1.2332551010941282
MNIST_SMLLAE_0.001_128_1_3.pth,6,1.3558229618007804,-0.04863695827561183,-1.3164516317465191
