Model,Class,MSE,SSIM,PSNR
MNIST_PCKTAE_30_3.pth,5,0.8838112471884142,-0.11766847022727962,0.5392698731746248
MNIST_PCKTAE_30_3.pth,6,0.8765255206562034,-0.0756222435019867,0.574311339043361
MNIST_PCKTAE_30_3.pth,7,0.898221458384499,-0.13361357964499046,0.46899446346871837
MNIST_PCKTAE_30_3.pth,8,0.8693113510001611,-0.06277308260441122,0.6099875826236424
MNIST_PCKTAE_30_3.pth,9,0.8868597178794702,-0.1090723476715429,0.5236117521926518
MNIST_PCKTAE_10_2.pth,0,0.8654906329451775,-0.0990812318369137,0.6301278406892947
MNIST_PCKTAE_10_2.pth,1,0.9464069683646316,-0.10522324043228229,0.24102498930882402
MNIST_PCKTAE_10_2.pth,2,0.891401563041894,-0.07181057729795631,0.5020144613929987
MNIST_PCKTAE_10_2.pth,3,0.8901958347547172,-0.08481273027515013,0.5081661343688758
MNIST_PCKTAE_10_2.pth,4,0.9064918335853429,-0.051764550417116986,0.42785030683154834
MNIST_PCKTAE_10_2.pth,5,0.9053105089830176,-0.08088673220861953,0.4344437494690923
MNIST_PCKTAE_10_2.pth,6,0.8924648483635738,-0.04985661444042863,0.4956335879094491
MNIST_PCKTAE_10_2.pth,7,0.907123494820836,-0.08256951138639171,0.4249667695644557
MNIST_PCKTAE_10_2.pth,8,0.890431076104636,-0.05872383594487374,0.506523753338286
MNIST_PCKTAE_10_2.pth,9,0.8993254816685725,-0.06497730855335002,0.46218032902072
MNIST_PCKTAE_10_3.pth,0,0.8661617166533762,-0.1145914926314888,0.627503793996572
MNIST_PCKTAE_10_3.pth,1,0.9366210026362919,-0.07225966882710164,0.2853808182867155
MNIST_PCKTAE_10_3.pth,2,0.8907008131807165,-0.05962207693245183,0.5050484218893488
MNIST_PCKTAE_10_3.pth,3,0.8895910082477154,-0.0723318139804575,0.510512390312657
MNIST_PCKTAE_10_3.pth,4,0.9102635562055709,-0.06808449325116618,0.4103690950561082
MNIST_PCKTAE_10_3.pth,5,0.9060074231950691,-0.08713635792083499,0.43140934930350555
MNIST_PCKTAE_10_3.pth,6,0.8914445129715077,-0.06568897004168155,0.5014172749098074
MNIST_PCKTAE_10_3.pth,7,0.9074121477075124,-0.09158279165472165,0.423715214882695
MNIST_PCKTAE_10_3.pth,8,0.8872796470869249,-0.04992409257244806,0.521462722996942
MNIST_PCKTAE_10_3.pth,9,0.9009475044027428,-0.08588951957638535,0.4548953002298954
MNIST_PCKTAE_10_1.pth,0,0.8654319301551702,-0.10457618364527489,0.6307992820878733
MNIST_PCKTAE_10_1.pth,1,0.9422184325524889,-0.08967352334809438,0.2600638486836774
MNIST_PCKTAE_10_1.pth,2,0.8912667486556741,-0.061898013007623195,0.5025184990066508
MNIST_PCKTAE_10_1.pth,3,0.8903474084221491,-0.06725220779379633,0.5068354274693032
MNIST_PCKTAE_10_1.pth,4,0.9091897656014398,-0.06586379267768581,0.41539413586381774
MNIST_PCKTAE_10_1.pth,5,0.9053726035917821,-0.08710033733952847,0.4345198501139035
MNIST_PCKTAE_10_1.pth,6,0.8912023079420182,-0.05994014516078724,0.5022285470038794
MNIST_PCKTAE_10_1.pth,7,0.9083352199672261,-0.10165770344202557,0.41965212265314417
MNIST_PCKTAE_10_1.pth,8,0.8879448060994276,-0.05403290771644266,0.5185564736754777
MNIST_PCKTAE_10_1.pth,9,0.9011677534303769,-0.0787579712211801,0.4536851356999157
CIFAR100_PCKTAE_100_1.pth,0,0.20743778994679452,0.016934609241783617,7.511528394342766
CIFAR100_PCKTAE_100_1.pth,1,0.25657742369920017,0.017049955592723563,6.3277098043772515
CIFAR100_PCKTAE_100_1.pth,2,0.21658064204826952,0.013929700137057808,7.392021451328106
CIFAR100_PCKTAE_100_1.pth,3,0.24016284773126245,0.022305065578082577,6.78232838642213
CIFAR100_PCKTAE_100_1.pth,4,0.21693368978798389,0.0029428052422590554,7.3218798807782
CIFAR100_PCKTAE_100_1.pth,5,0.21715359062701464,0.038861933167325335,7.159739311429193
CIFAR100_PCKTAE_100_1.pth,6,0.255756068572402,-0.0025533396149985494,6.562362148793624
CIFAR100_PCKTAE_100_1.pth,7,0.20853098862618208,0.03578595136676449,7.235827188857408
CIFAR100_PCKTAE_100_1.pth,8,0.1813106559664011,0.026925042501068672,7.895443221782707
CIFAR100_PCKTAE_100_1.pth,9,0.21985461243242024,0.0318102629641071,6.847050110492812
CIFAR100_PCKTAE_100_2.pth,0,0.2071660550199449,0.0145224963054643,7.510351799109348
CIFAR100_PCKTAE_100_2.pth,1,0.2574675160013139,0.01646357967169024,6.313099513701099
CIFAR100_PCKTAE_100_2.pth,2,0.21834295104071497,0.013282078901887871,7.352235958443536
CIFAR100_PCKTAE_100_2.pth,3,0.24117988147959113,0.021872246628045103,6.764105819255268
CIFAR100_PCKTAE_100_2.pth,4,0.21949860553070902,0.0036765068756649272,7.271850289267116
CIFAR100_PCKTAE_100_2.pth,5,0.21820227865502237,0.03900586885854136,7.140353548951167
CIFAR100_PCKTAE_100_2.pth,6,0.25807943753153084,-0.002662938292021863,6.521397891011465
CIFAR100_PCKTAE_100_2.pth,7,0.20941181204468012,0.035342826475272884,7.214438169828315
CIFAR100_PCKTAE_100_2.pth,8,0.1812402281500399,0.022123458947637117,7.894146720611021
