Dataset,Model,Latent Size,Seed,Loss
CIFAR100,PCKTAE,100,1,0.0015278422610734202
CIFAR100,PCKTAE,100,1,0.0015276940524592386
CIFAR100,PCKTAE,100,1,0.0015281889211896168
CIFAR100,PCKTAE,100,1,0.001527848653793049
CIFAR100,PCKTAE,100,1,0.0015278307758533703
CIFAR100,PCKTAE,100,1,0.001527567299397286
CIFAR100,PCKTAE,100,1,0.001527557004233608
CIFAR100,PCKTAE,100,1,0.001527888141512928
CIFAR100,PCKTAE,100,1,0.0015284861259333923
CIFAR100,PCKTAE,100,1,0.0015279742456791574
CIFAR100,PCKTAE,100,1,0.001528369565315716
CIFAR100,PCKTAE,100,1,0.001342651706860884
CIFAR100,PCKTAE,500,1,0.0018292133147944994
CIFAR100,PCKTAE,500,1,0.001587600934038134
CIFAR100,PCKTAE,500,1,0.0015558627183379992
CIFAR100,PCKTAE,500,1,0.0015447488074879284
CIFAR100,PCKTAE,500,1,0.001537849623447908
CIFAR100,PCKTAE,500,1,0.001534270259904225
CIFAR100,PCKTAE,500,1,0.001531665475117257
CIFAR100,PCKTAE,500,1,0.0015317537366886578
CIFAR100,PCKTAE,500,1,0.0015302003352948086
CIFAR100,PCKTAE,500,1,0.0015313594397800543
CIFAR100,PCKTAE,500,1,0.0015314886816289
CIFAR100,PCKTAE,500,1,0.0015312851272056551
CIFAR100,PCKTAE,500,1,0.0015970799450279044
CIFAR100,PCKTAE,500,1,0.0015422277735508121
CIFAR100,PCKTAE,500,1,0.0015348987996249514
CIFAR100,PCKTAE,500,1,0.0015327129060464441
CIFAR100,PCKTAE,500,1,0.001532994808279016
CIFAR100,PCKTAE,500,1,0.0015325461296350374
CIFAR100,PCKTAE,500,1,0.0015314750532950739
CIFAR100,PCKTAE,500,1,0.0015316524461288091
CIFAR100,PCKTAE,500,1,0.0013567922516030412
CIFAR100,PCKTAE,1000,1,0.001825313832339309
CIFAR100,PCKTAE,1000,1,0.0016039525640442435
CIFAR100,PCKTAE,1000,1,0.0015688943926749936
CIFAR100,PCKTAE,1000,1,0.0015497352160356195
CIFAR100,PCKTAE,1000,1,0.0015409744062992122
CIFAR100,PCKTAE,1000,1,0.0015386466485926944
CIFAR100,PCKTAE,1000,1,0.0016282096054390683
CIFAR100,PCKTAE,1000,1,0.0015451633713810759
CIFAR100,PCKTAE,1000,1,0.0015541751517097245
CIFAR100,PCKTAE,1000,1,0.0015971209887234146
CIFAR100,PCKTAE,1000,1,0.0015917910781600858
CIFAR100,PCKTAE,1000,1,0.001551105111153782
CIFAR100,PCKTAE,1000,1,0.0015861293994118948
CIFAR100,PCKTAE,1000,1,0.0015463348340524164
CIFAR100,PCKTAE,1000,1,0.001600521889067424
CIFAR100,PCKTAE,1000,1,0.001546762494520401
CIFAR100,PCKTAE,1000,1,0.0015397004445519328
CIFAR100,PCKTAE,1000,1,0.0016200988993520283
CIFAR100,PCKTAE,1000,1,0.0015557955065027566
CIFAR100,PCKTAE,1000,1,0.0015432656893882987
CIFAR100,PCKTAE,1000,1,0.0013673701338304937
CIFAR100,PCKTAE,100,2,0.0018261859980661928
CIFAR100,PCKTAE,100,2,0.0015722969040760527
CIFAR100,PCKTAE,100,2,0.0015439903944173394
CIFAR100,PCKTAE,100,2,0.0015376313846162937
CIFAR100,PCKTAE,100,2,0.0015348565890965864
