dataset,model1,model2,sampling_strategy,mapping,lambda,latent_dim,num_samples,MSE_loss,MSE_loss_model1,MSE_loss_model2,class
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,worst_classes,Linear,0.01,10,100,0.17118023335933685,0.17340712249279022,0.17532363533973694,0
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,worst_classes,Linear,0.01,10,100,0.12380986660718918,0.1269579976797104,0.12636680901050568,1
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,worst_classes,Linear,0.01,10,100,0.20731204748153687,0.2094849795103073,0.21563683450222015,2
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,worst_classes,Linear,0.01,10,100,0.12935921549797058,0.13584789633750916,0.13532747328281403,3
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,worst_classes,Linear,0.01,10,100,0.214079812169075,0.21687619388103485,0.2203155755996704,4
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,worst_classes,Linear,0.01,10,100,0.08017604053020477,0.0773828849196434,0.08018804341554642,5
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,worst_classes,Linear,0.01,10,100,0.1729588806629181,0.17571894824504852,0.17912381887435913,6
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,worst_classes,Linear,0.01,10,100,0.10008586198091507,0.09652307629585266,0.10001843422651291,7
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,worst_classes,Linear,0.01,10,100,0.21373675763607025,0.20943871140480042,0.21501487493515015,8
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,worst_classes,Linear,0.01,10,100,0.17298710346221924,0.178689643740654,0.17997926473617554,9
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,convex_hull,Linear,0.1,10,100,0.16848090291023254,0.1736353039741516,0.17539401352405548,0
